Brand,Phone,Website,Order by Phone,Order Online,Photo Filename,Order through an online retailer,Established Grocery or Indepedent Health Food store,Farm/Retail Store,Find at Farmers Markets (needs to be broken out from grocery locations)
Traditional Medicinals,,,,,,,,,
Rozzano,,,No,No,,Yes,No,No,No
5 Bar Beef,(714) 749-5717,http://5barbeef.com/,Yes,No,5_Bar_Beef,No,No,,
5 Spoke Creamery,(914) 934-1649,http://www.5spokecreamery.com/,No,No,5_Spoke_Creamery,No,Yes,,
911caviar.com,(800) 660-0063,http://www.911caviar.com/,Yes,Yes,911caviar.com,,No,No,No
A Taste of Thai,(716) 833-8423,http://www.atasteofthai.com/,Yes,Yes,A_Taste_of_Thai,,Yes,,
A. Vogel,,www.herbamare.us,No,No,A._Vogel,Yes,Yes,,
A.F. Kombucha,(877) 566-2824,http://www.kombucha2000.com/,Yes,Yes,A.F._Kombucha,,Yes,,
Abuelita,(703) 369-0232,http://www.abuelita.com/,No,No,Abuelita,No,Yes,,
Aceto Beato DeMarco,(888) 421-6546,http://www.organicoil.com/,No,Yes,Aceto_Beato_DeMarco,Yes,No,,
Acme Bakery,(510) 524-1327,http://acmebread.com/,No,No,Acme_Bakery,No,Yes,Yes,
Acme Smoked Fish,(718) 383-8585,http://www.acmesmokedfish.com,No,No,Acme_Smoked_Fish,No,Yes,,
AcroAma Blends,(563) 552-7415,http://www.acroamablends.com,No,Yes,AcroAma_Blends,Yes,No,,
Adams,(888) 550-9555,http://www.adamspeanutbutter.com,No,Yes,Adams,Yes,Yes,,
Aidell's,(877) 243-3557,http://www.aidells.com,No,Yes,Aidell's,,Yes,,
Ak-Mak,(559) 875-5511,http://www.akmakbakeries.com/,No,No,Ak-Mak,Yes,Yes,,
Al Fresco,(800) 426-6100,http://www.alfrescoallnatural.com/,No,No,Al_Fresco,Yes,Yes,,
Alaffia,(180) 066-4800,https://www.alaffia.com/,No,No,Alaffia,Yes,Yes,,
Alaska Birch Syrup Company,(907) 355-5721,http://www.alaskasyrup.com/,Yes,No,Alaska_Birch_Syrup_Company,No,Yes,,
Alden's,,http://www.aldensicecream.com/,No,Yes,Alden's,,Yes,,
Alderspring Ranch,,http://www.alderspring.com/,No,Yes,Alderspring_Ranch,,No,,
Alexander Valley Gourmet,(707) 473-0116,http://sonomabrinery.com/,No,No,Alexander_Valley_Gourmet,No,Yes,No,No
Alexandre Family EcoDairy Farms,(707) 487-1000,http://www.ecodairyfarms.com/,No,No,Alexandre_Family_EcoDairy_Farms,No,Yes,,
Alford,,http://www.oatmealofalford.com/,No,No,Alford,Yes,No,,
Alfresco Farms,(877) 455-3063,www.alfrescofarms.com/,No,No,Alfresco_Farms,No,Yes,,
Alive & Radiant Foods,(510) 527-8916,http://shop.kaiafoods.com/,Yes,Yes,Alive_and_Radiant_Foods,,No,,
All Stars Bakery,(905) 738-9624,http://allstarsbakery.com/,No,No,All_Stars_Bakery,No,Yes,No,Yes
Alpha,(1800) 663-2212,http://www.alphahealth.ca/shop/,Yes,Yes,Alpha,,Yes,,
Alvarado Street Bakery,(707) 283-0300,http://www.alvaradostreetbakery.com/,Yes,Yes,Alvarado_Street_Bakery,,Yes,,
American Flatbread,(802) 496-8856,http://americanflatbread.com/,No,Yes,American_Flatbread,,No,,
American Grass Fed Beef,(866) 255-5002,http://www.americangrassfedbeef.com/,Yes,Yes,American_Grass_Fed_Beef,,Yes,,
American Tuna,(866) 817-0497,http://www.americantuna.com/,Yes,Yes,American_Tuna,,Yes,,
Ames Farm,(952) 955-3348,http://www.amesfarm.com/,No,Yes,Ames_Farm,,Yes,No,No
"Amish Honey, Inc.",(917) 519-1242,http://amishhoney.com,No,Yes,"Amish_Honey,_Inc.",Yes,No,,
Amport Foods,(1855) 273-0466,http://www.amportfoods.com/,No,No,Amport_Foods,No,Yes,No,No
Amy & Brian,(360) 433-2325,http://amyandbriannaturals.com/,No,No,Amy_&_Brian,Yes,Yes,No,No
Amy's,(707) 568-4500,amys.com,No,Yes,Amy's,Yes,Yes,Yes,No
Anahata Balance,(231) 360-7043,http://store.anahatabalance.com/,Yes,Yes,Anahata_Balance,,No,,
Anchor,(954) 536-2000,http://www.anchorbutter.com/,No,No,Anchor,No,Yes,,
Ancient Harvest,(310) 217-8140,http://www.quinoa.net/,No,Yes,Ancient_Harvest,,Yes,,
Ancient Organics,(510) 847-5565,http://www.ancientorganics.com/,No,Yes,Ancient_Organics,,Yes,No,No
Anderson Ranches,(541) 466-5866,http://www.oregonlamb.com/,Yes,Yes,Anderson_Ranches,,Yes,No,No
Andes  (Karis Naturals),(714) 522-0700,http://karisalt.com/,No,Yes,Andes__(Karis_Naturals),No,No,Yes,
Annie's Naturals,(800) 288-1089,http://www.annies.com/,No,No,Annie's_Naturals,Yes,Yes,,
Anton Kozlik's,(416) 361-9788,http://www.mustardmaker.com/,No,Yes,Anton_Kozlik's,,Yes,,
Apollinaris,,http://www.apollinaris.de/,No,No,Apollinaris,Yes,Yes,,
Apollo,(877) 776-0703,www.apollooliveoil.com,No,Yes,Apollo,,Yes,,
Applegate Naturals,(866) 587-5858,http://www.applegate.com/,No,Yes,Applegate_Naturals,,Yes,,
Aqua Vitea,(802) 453-8590,http://aquavitea.com/,No,No,Aqua_Vitea,No,Yes,,
Aroy-D,,,No,No,Aroy-D,Yes,Yes,,
Arrowhead Mills,(1800) 434-4246,http://www.arrowheadmills.com/,No,Yes,Arrowhead_Mills,,Yes,,
Artisana,(866) 237-8688,http://artisanafoods.com/,Yes,Yes,Artisana,,No,,
Atkins Ranch,(510) 440-8700,http://www.atkinsranch.com/,No,No,Atkins_Ranch,No,Yes,,
Atlantic Mariculture,(506) 662-8150,http://www.organicdulse.com/,No,No,Atlantic_Mariculture,Yes,Yes,,
Australian Lamb,(800) 438-5262,http://www.australianlamb.com/,No,No,Australian_Lamb,No,Yes,,
Awers Inc.,(888) 297-9196,http://www.red-caviar.com/,Yes,Yes,Awers_Inc.,,No,,
Awesome Foods,(610) 757-1048,http://www.awesomefoods.com/,No,Yes,Awesome_Foods,,Yes,No,No
Azure Standard,(541) 467-2230,http://www.azurestandard.com/,Yes,Yes,Azure_Standard,,No,Yes,
B & G Honey Farm,,http://www.bandghoneyfarm.com/,No,Yes,B_&_G_Honey_Farm,No,No,No,No
Back Creek,(540) 499-2302,http://www.welcometobackcreek.com/syrup/,Yes,No,Back_Creek,No,No,,
Backyard Birds,(877) 455-3063,http://www.vitalfarms.com/otherbrands.html,No,No,Backyard_Birds,No,Yes,No,
Balducci's,(800) 346-8763,http://www.balduccis.com/,Yes,Yes,Balducci's,,Yes,,
Baldwin Charolais Beef,(800) 896-4857,www.baldwingrassfedbeef.com/,Yes,Yes,Baldwin_Charolais_Beef,,Yes,,
BannerBee,(240) 793-0363,www.bannerbees.com/,Yes,Yes,BannerBee,,Yes,No,No
BAO,(718) 391-0009,http://www.baofoodanddrink.com/,No,Yes,BAO,No,Yes,,
Bar 10 Ranch,(800) 582-4139,www.bar10beef.com,Yes,Yes,Bar_10_Ranch,,No,,
Bar Harbor,(800) 962-6258,http://www.barharborfoods.com,No,Yes,Bar_Harbor,Yes,Yes,,
Bare Fruit,(800) 940-0019,http://www.barefruitsnacks.com/,No,Yes,Bare_Fruit,No,Yes,,
Bareville Creamery,(717) 656-4422,,Yes,No,Bareville_Creamery,No,No,,No
Bariani,(415) 864-1917,https://www.barianioliveoil.com/,No,Yes,Bariani,,Yes,No,No
Barlean's,(800) 445-3529,http://www.barleans.com/,Yes,Yes,Barlean's,,Yes,,
Barry Farm,,http://www.barryfarm.com/,No,Yes,Barry_Farm,Yes,No,Yes,Yes
BC Kelp,(1250) 622-7085,http://www.bckelp.com/,No,Yes,BC_Kelp,No,No,No,No
Beccaroons,(952) 451-0343,,Yes,No,Beccaroons,No,No,,
Bechard Family Farm,(417) 589-4152,http://www.bechardfarm.com/,Yes,Yes,Bechard_Family_Farm,No,No,,
Becker Lane Organic,(563) 875-2248,http://beckerlaneorganic.com/,No,Yes,Becker_Lane_Organic,,Yes,,
Bee Chama Honey,(575) 517-7438,http://www.beechamahoney.com/,Yes,No,Bee_Chama_Honey,No,No,,
Beeler's,(877) 378-8520,http://www.beelerspurepork.com/,Yes,Yes,Beeler's,,Yes,,
Bela-Olhao,,,No,No,Bela-Olhao,Yes,Yes,,
Bell & Evans,(717) 865-6626,http://www.bellandevans.com/,No,No,Bell_&_Evans,No,Yes,No,No
Bellwether Farms,(707) 763-0993,http://www.bellwetherfarms.com/,No,Yes,Bellwether_Farms,,Yes,,
Beltie Beef,(877) 846-5721,http://www.beltiebeef.com/,Yes,Yes,Beltie_Beef,,Yes,,
Ben & Jerry's,(802) 846-1500,http://www.benjerry.com/,No,No,Ben_&_Jerry's,No,Yes,,
Beneficial Farms,(505) 470-1969,http://mesatopfarm.com/,No,No,Beneficial_Farms,No,Yes,No,No
Berkshire Mountain Bakery,(413) 274-3412,http://www.berkshiremountainbakery.com/,Yes,Yes,Berkshire_Mountain_Bakery,,No,,
Berlin Natural Bakery,(800) 686-5334,http://www.berlinnaturalbakery.com/,Yes,Yes,Berlin_Natural_Bakery,,Yes,,
Bernard Jensen,(888) 593-8333,http://www.bernardjensen.com/,No,Yes,Bernard_Jensen,,No,Yes,No
Best Of All,(800) 381-0759,,No,No,Best_Of_All,Yes,No,,
Better Than Roasted - Blue Mountain Organics,(540) 745-5040,http://www.bluemountainorganics.com/betterthanroasted/,No,Yes,Better_Than_Roasted_-_Blue_Mountain_Organics,Yes,Yes,,
Bices Quality Critter Ranch,(715) 424-5159,http://bicesranch.com/,Yes,No,Bices_Quality_Critter_Ranch,No,No,No,No
Biena,(450) 778-5505,http://www.biena.com,No,No,Biena,Yes,No,,
Big Tree Farms,(541) 488-5605,http://bigtreefarms.com/,No,Yes,Big_Tree_Farms,,Yes,No,No
Big Tree Farms,(541) 488-5605,www.bigtreefarms.com,Yes,Yes,Big_Tree_Farms,No,Yes,,
Bija,,http://www.floressencetea.com/category/Bija.html#tab=Home,No,Yes,Bija,Yes,Yes,No,No
Bilinski's,(877) 873-9102,http://www.bilinski.com/,No,Yes,Bilinski's,,Yes,,
Bioitalia,,http://www.bioitalia.it/index.php,No,No,Bioitalia,Yes,Yes,,
Bionaturae,(860) 642-6996,http://www.bionaturae.com/,No,No,Bionaturae,No,Yes,No,No
Biotta Naturals,(888) 524-6882,http://biottajuices.com/,Yes,Yes,Biotta_Naturals,,Yes,,
Black Earth Meats,(608) 767-3940,http://www.blackearthmeats.com/,Yes,No,Black_Earth_Meats,No,Yes,,
"Blackwing, Inc.",(847) 838-4888,http://www.blackwing.com/,Yes,Yes,"Blackwing,_Inc.",,No,No,No
BLiS,(616) 942-7545,http://blisgourmet.com/home/,Yes,Yes,BLiS,No,Yes,,
Blue Hill Bay,(718) 383-8585,http://www.acmesmokedfish.com/products?landing=blue-hill-bay,No,No,Blue_Hill_Bay,Yes,Yes,No,No
Blue Monkey,,http://www.bluemonkeydrinks.com,No,No,Blue_Monkey,Yes,Yes,,
Blue Mountain Meadows,(717) 423-5680,,Yes,No,Blue_Mountain_Meadows,Yes,No,,
Bluebird Grain Farms,(888) 232-0331,http://www.bluebirdgrainfarms.com/,Yes,Yes,Bluebird_Grain_Farms,No,Yes,,
Bluff Wood Creek,(317) 536-9800,http://www.bluffwoodcreek.com,No,No,Bluff_Wood_Creek,No,Yes,,
Boar's Head,(1800) 352-6277,http://boarshead.com/,No,No,Boar's_Head,No,Yes,Yes,
Bob's Red Mill,(800) 349-2173,http://www.bobsredmill.com/,No,No,Bob's_Red_Mill,Yes,Yes,No,No
Bobolink Dairy,(973) 764-4888,http://www.cowsoutside.com/,No,Yes,Bobolink_Dairy,,No,,
Body Ecology,(800) 511-2660,http://bodyecology.com/,Yes,Yes,Body_Ecology,,No,,
Bolzano Artisan Meats,(414) 426-6380,http://bolzanomeats.com/,No,Yes,Bolzano_Artisan_Meats,,Yes,,
Bonewerks,(800) 542-3032,https://www.bonewerksculinarte.com/,No,Yes,Bonewerks,No,No,,
Bonus Vivus,(651) 379-4809,http://www.bonusvivus.com/,No,Yes,Bonus_Vivus,,Yes,No,No
