title,sort
Beverages,26
Bread,19
Butter & Ghee,3
"Bacon, Ham & Sausage",11
Aged Cheese,4
Fresh Cheese,5
Coconut,21
Fish Oils,16
Condiments,24
"Cookies, Bars & Muffins",29
Crackers,30
Cream,2
Eggs,13
Fats & Oils,22
Flour & Baking Supplies,20
Fruits & Vegetables,8
Grains & Legumes,9
Ice Cream,7
Lacto-fermentation Starters,18
Lacto-fermented Vegetables,17
Fresh Meat,10
Milk,1
Nuts & Seeds,15
Pemmican & Jerky,14
Salt & Spices,25
Seafood,12
Snack Foods,28
Soups & Stocks,23
Sweeteners,27
Yogurt & Kefir,6
