"id","product_key","category_id","brand_id","name","quality_rating_id","in_stores","available","not_available","created_at","updated_at","picture_file_name","picture_content_type","picture_file_size","picture_updated_at","approved","user_id"
"16681",NULL,"21","3087","Beef","118",NULL,NULL,NULL,"2013-12-12 19:25:02","2013-12-12 19:25:03","Beef.jpg","image/jpeg","78013","2013-12-12 19:25:02","1",NULL
"16682",NULL,"5","3088","Tumbleweed Raw Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:05:23","5SpokeCreamery_AgedCheese_TumbleweedRawCheese.jpg","image/jpeg","59337","2014-01-16 12:05:22","1",NULL
"16683",NULL,"5","3088","Welsh Cheddar Raw Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:06:02","5SpokeCreamery_AgedCheese_WelshCheddarRawCheese.jpg","image/jpeg","94945","2014-01-16 12:06:00","1",NULL
"16684",NULL,"5","3088","Talcott Raw Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:06:08","5SpokeCreamery_AgedCheese_TalcottRawCheese.jpg","image/jpeg","87493","2014-01-16 12:06:06","1",NULL
"16685",NULL,"5","3088","Redmond Cheddar Raw Cow Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:06:14","5SpokeCreamery_AgedCheese_RedmondCheddarRawCowCheese.jpg","image/jpeg","64130","2014-01-16 12:06:12","1",NULL
"16686",NULL,"5","3088","Port Chester Raw Cow Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:06:20","5SpokeCreamery_AgedCheese_PortChesterRawCowCheese.jpg","image/jpeg","88669","2014-01-16 12:06:19","1",NULL
"16687",NULL,"5","3088","Heritage Raw Cow Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:06:25","5SpokeCreamery_AgedCheese_HeritageRawCowCheese.jpg","image/jpeg","95641","2014-01-16 12:06:24","1",NULL
"16688",NULL,"5","3088","Herbal Jack Raw Cow Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:06:31","5SpokeCreamery_AgedCheese_HerbalJackRawCowCheese.jpg","image/jpeg","68575","2014-01-16 12:06:30","1",NULL
"16689",NULL,"5","3088","Crawford Raw Cow Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:06:38","5SpokeCreamery_AgedCheese_CrawfordRawCowCheese.jpg","image/jpeg","79361","2014-01-16 12:06:36","1",NULL
"16690",NULL,"5","3088","Browning Gold Raw Cow Cheese","97",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:06:43","5SpokeCreamery_AgedCheese_BrowningGoldRawCowCheese.jpg","image/jpeg","71179","2014-01-16 12:06:42","1",NULL
"16691",NULL,"27","3089","Siberian Caviar","115",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:08:00","911caviar.com_Seafood_SiberianCaviar.jpg","image/jpeg","80642","2014-01-16 12:07:59","1",NULL
"16692",NULL,"27","3089","Israeli Caviar","115",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:08:05","911caviar.com_Seafood_IsraeliCaviar.jpg","image/jpeg","70676","2014-01-16 12:08:04","1",NULL
"16693",NULL,"27","3089","French Caviar","115",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:08:12","911caviar.com_Seafood_FrenchCaviar.jpg","image/jpeg","69872","2014-01-16 12:08:10","1",NULL
"16694",NULL,"27","3089","Wasabi Caviar","115",NULL,"0",NULL,"2013-12-12 19:25:03","2014-01-16 12:08:20","911caviar.com_Seafood_WasabiCaviar.jpg","image/jpeg","55646","2014-01-16 12:08:18","1",NULL
"16695",NULL,"27","3089","Salmon Caviar","115",NULL,"0",NULL,"2013-12-12 19:25:04","2014-01-16 12:08:26","911caviar.com_Seafood_SalmonCaviar.jpg","image/jpeg","47437","2014-01-16 12:08:25","1",NULL
"16696",NULL,"27","3089","Paddlefish Caviar","115",NULL,"0",NULL,"2013-12-12 19:25:04","2014-01-16 12:08:32","911caviar.com_Seafood_PaddlefishCaviar.jpg","image/jpeg","81281","2014-01-16 12:08:31","1",NULL
